TE,mean_UK,fdr_uk,mean_France,fdr_f,mean_Belgium,fdr_b,mean_spain,fdr_spain,mean_slope,fdr_time
ltr.1_family.387,NA,NA,6.966666667,0.066752498,6.859649123,0.870134908,6.956521739,0.137585815,-1.14E-05,0.999370882
ltr.1_family.388,986.5,0.130689783,1259.633333,0.032241848,1119.438596,0.896716809,1577.26087,5.50E-19,0.033272607,0.021244465
ltr.1_family.389,17.66666667,0.155416029,23.1,0.132198591,20.66666667,0.774751806,31.04347826,4.11E-17,0.02182456,0.110076584
ltr.1_family.39,5.666666667,0.710416581,7,0.045155585,5.789473684,0.732657135,8.260869565,5.38E-06,0.023518395,0.105155367
ltr.1_family.390,54.33333333,0.137064002,74.66666667,0.031679095,61.73684211,0.802457711,100.8695652,2.26E-13,0.034310617,0.017352447
ltr.1_family.391,52,0.726202678,52.86666667,0.675873551,52.19298246,0.853941186,57.43478261,3.66E-13,0.008032216,0.588680688
ltr.1_family.392,3.166666667,0.132590986,5.533333333,0.028839174,4.228070175,0.748811664,6.913043478,3.02E-10,0.02395512,0.091496337
ltr.1_family.393,569.6666667,0.194810045,602.5333333,0.302112988,589.9649123,0.990413095,645.826087,9.97E-18,0.034458453,0.01830679
ltr.1_family.394,19.5,0.288865344,22.16666667,0.012701245,21.31578947,0.690581857,23.43478261,1.28E-10,0.033710424,0.024492757
ltr.1_family.395,128.3333333,0.228831388,170.6666667,0.044679719,144.5789474,0.827336853,248.2173913,1.91E-14,0.038969791,0.014308386
ltr.1_family.396,400,0.280392402,501.2,0.042885722,417.8947368,0.730501892,744.7391304,4.23E-20,0.025299415,0.077104409
ltr.1_family.397,16.66666667,0.47761211,18.4,0.250247372,17.87719298,0.975270176,20.39130435,9.64E-09,0.009304835,0.517188361
ltr.1_family.398,75.83333333,0.357904496,82.16666667,0.080144903,80.45614035,0.685870851,89.2173913,4.05E-17,0.022383345,0.105068408
ltr.1_family.399,5,0.947031203,5.4,0.067464019,5.070175439,0.998112003,5.608695652,0.000610194,0.015079188,0.294321923
ltr.1_family.4,NA,NA,0.433333333,0.216201351,0.315789474,0.926210334,1,0.000203281,-0.022533886,0.121589104
ltr.1_family.40,3.833333333,0.764654252,4.833333333,0.025739335,3.807017544,0.801662397,5.869565217,4.30E-10,0.024175214,0.079705801
ltr.1_family.400,69,0.95490201,74.46666667,0.029575226,68.19298246,0.808295385,83.60869565,4.34E-14,0.019144903,0.171516222
ltr.1_family.401,70,0.288865344,85.96666667,0.005130178,77.21052632,0.884785858,94.52173913,2.84E-14,0.036725818,0.015172235
ltr.1_family.402,106.1666667,0.602662327,113.0666667,0.291683862,110.754386,0.859067094,118.8695652,6.90E-11,0.021255362,0.137343349
ltr.1_family.403,41,0.155341168,54.66666667,0.076363865,45.14035088,0.587377881,81.56521739,1.38E-13,0.035976661,0.014506542
ltr.1_family.404,40.33333333,0.745459385,43.63333333,0.026048715,41.66666667,0.772380006,46.39130435,1.13E-11,0.029879491,0.037644441
ltr.1_family.405,96.33333333,0.160988858,116.2,0.046423102,103.9824561,0.7108875,140.1304348,1.56E-16,0.035491649,0.014869684
ltr.1_family.406,4.5,0.998176994,4.666666667,0.325694326,4.543859649,0.882122393,4.739130435,0.043661431,0.030393756,0.041949454
ltr.1_family.407,124.6666667,0.16178652,149.6666667,0.037555832,137.3333333,0.946663447,176,2.34E-18,0.035861235,0.014506542
ltr.1_family.408,67.83333333,0.273332389,81.03333333,0.046583674,71.36842105,0.66067853,97.82608696,3.51E-13,0.038940831,0.014308386
ltr.1_family.409,807.1666667,0.121039019,1162.1,0.036079565,936.7192982,0.703124126,1770.565217,1.28E-14,0.029400354,0.034610648
ltr.1_family.41,123,0.132152587,150.1333333,0.05393312,138.7894737,0.86161522,180.9565217,1.34E-16,0.02764079,0.048727032
ltr.1_family.410,32.5,0.670090138,33.63333333,0.23202897,32.9122807,0.943918824,36.13043478,3.01E-12,0.015421726,0.272597647
ltr.1_family.411,19.5,0.244217335,21.53333333,0.682537162,20.92982456,0.587377881,22.30434783,1.75E-05,0.021886594,0.122331543
ltr.1_family.412,50,0.12303066,64.2,0.029814383,56.80701754,0.955194721,80.82608696,4.70E-16,0.03204894,0.023890528
ltr.1_family.413,68.66666667,0.139289592,72.63333333,0.351609633,71.40350877,0.966135276,76,1.55E-10,0.020319299,0.151757225
ltr.1_family.414,41.33333333,0.227635102,51.7,0.058801128,44.29824561,0.709233052,73.26086957,2.28E-16,0.026258254,0.055546633
ltr.1_family.415,78.83333333,0.122946824,99.73333333,0.0274293,86.85964912,0.762470501,129.7826087,4.42E-14,0.031082535,0.023029316
ltr.1_family.416,340.5,0.121039019,486.4,0.024862962,421.3157895,0.833188511,661.0869565,3.39E-12,0.021959677,0.12525636
ltr.1_family.417,441.6666667,0.190601321,497.5,0.033570355,464.9122807,0.952543964,558.5652174,6.22E-14,0.029945946,0.033018894
ltr.1_family.418,530.8333333,0.120417597,722.4666667,0.032004936,634.8596491,0.982785815,1104.26087,3.37E-13,0.033789083,0.019183575
ltr.1_family.419,6,0.939244981,6.4,0.068270538,6.035087719,0.829351562,7.391304348,6.05E-09,0.043240064,0.014308386
ltr.1_family.42,33.66666667,0.153634658,37.23333333,0.391190239,35.19298246,0.833746801,45.13043478,1.28E-16,0.030113038,0.031802699
ltr.1_family.420,19.66666667,0.509934572,23.23333333,0.077128805,20.36842105,0.657437619,28.47826087,3.10E-11,0.029339828,0.037921783
ltr.1_family.421,11.66666667,0.62891166,12.2,0.774414486,12.07017544,0.98751434,13.65217391,3.18E-12,0.015079293,0.286011474
ltr.1_family.422,34.33333333,0.832096337,36.36666667,0.068718224,35.01754386,0.965402671,40.43478261,3.13E-12,0.02165388,0.119673711
